Besoins_Title for which search is required,For testing,Descriptif,Keywords
Ingénieur infrastructure,X,"Nous recherchons pour un de nos clients un ingénieur infrastructure
Compétence souhaitée:
• Un ingénieur  Système Windows connaissant aussi Linux . 
Mission:
=>  Minimum un an et le démarre ASAP
","Infrastructure, reseau, deploiement, securité, securite,  donnée, système, ingenieur, network engineer, analyse, redaction, évaluation, rigeur, reactivité, communication, initiative"
Ingénieur SSI,X,"Nous recherchons pour un de nos clients, un ingénieur sécurité systeme d'information
Compétences souhaitées:
• Apporter son expertise aux projets en  
fournissant les documents d’architecture technique (DAT) 
• Réaliser la recette sur les aspects de  sécurité des solutions avant mise en production
• Mettre à jour la documentation existante
• Assurer un support technique
Expériencex souhaitées:
• Min 4 ans d'expériences
• Expérience reconnue en SSII et expertise sur les différentes solutions de sécurité du marché comme par exemple:
proxy web/reverse-proxy, équipements de filtrage/anti-malware, authentification MFA, durcissement des postes de travail et des serveurs 
Autre Compétences souhaitéés:
•  Connaissance du fonctionnement standard et opérationnel d’un service SSI et d’une DSI ;
•  Expérience avérée
Mission:
=>  2 ans démarrant ASAP ","technique, support,  proxy web cloud,  ingenieur securite,   système  information, coordination, strategie,  securité, gestion,  mot  passe chiffrage,  mots entrants, sortants, reactif relationnel, organisation, efficace, pedagogue"
Développeur Javascript,X,"Nous recherchons pour un de nos clients, un développeur Javascript disponible ASAP pour la refonte d'un site e-commerce international
Compétence souhaitée: 
• Bonne maîtrise de Javascript et du paramétrage sur Salesforce Commerce Cloud 
• Avoir déjà travaillé sur des projets en mode agile ","Javascript,  salesforce, front end back end, communication, equipe, autonome"
Expert Dot.net,X,"Nous recherchons pour un de nos clients, un expert Dot.net 
=> Il s'agit d'une mission Longue à temps plein",".net, dot .net, dot net, dot"
Développeur C++ ,X,"Nous recherchons pour un de nos clients, un développeur C++
Compétence souhaitée:
• Connaissance de yocto 
• Langage C++","C++, developpement application, Base de donnée,  Javascript, HTML, CSS"
Développeur senior Android,X,"Nous recherchons pour un de nos clients, un développeur  Android 
Expériences souhaitées:
• 6 ans d'expérience min en tant que développeur react Js 
•  2 ans en management d'équipe minimum. 
Qualité recherchée: 
• Autonome 
•  Force de proposition"," Android, tablette, smartphone, test, design, application, Developpeur"
Administrateur système Windows VIP,X,"Nous recherchons pour un de nos clients un administrateur système Windows VIP:
Compétences souhaitées:
• Bonne connaissance de l'administration réseau 
• Gestion de la sécurité de l'infrastructure
• Assistance du responsable support sur la gestion des changements et projets 
• Mise en production d'applications métiers
• Bonne connaissance des environnements techniques  lié aux technologies Microsoft suivante :
• Postes de travail sous Windows 10 et Office 2016, avec quelques postes sous Windows 7 et Office 2013
• Serveurs sous Windows Server, Hyper V","Windows, microsoft office, infrastructure, entreprise serveur, administration, administrateur System, and Network Administrator"
Coordinateur habilitable,X,"Nous recherchons pour un de nos clients, un coordinateur habilitable
 Compétences souhaitées:
• Coordination des techniciens
• Elaboration de reporting mensuel/hebdo
• Coordination de remplacement de postes
=> Mission de 6 mois min dès janvier","Coordinateur, habilitable,  technicien "
QA/Tester ,X,"Nous recherchons pour un de nos clients, un quality tester 
 Compétences souhaitées:
• A  l'aise avec de l'automation de tests
• Bonne maîtrise de l'anglais ","QA Tester,  tests MOE"
Lead développeur,X,"Nous recherchons pour un de nos clients, un lead developpeur
Compétences souhaitées:
• Connaissance de l'environnement technique Android,  minimum 2 ans 
Expériences souhaitées:
• 6 ans minimum pour gérer cette mission est indispensable","Lead developpeur,  Android, environnement technique, Manager, piloter, coordination"
Développeur Symfony,X,"Nous recherchons pour un de nos clients, un developpeur Symfony
Compétences souhaitées:
• Bonne connaissance de l'environnement technique SF
Expérience souhaitée:
• Senior","Symfony, developpeur"
Chef de projet technique,X,"Nous recherchons pour un de nos clients, un chef de projet technique
Compétences souhaitées:
• Anglais courant
• Conduite de projet 
• Intégration de logiciels
Expérience souhaitée:
• > 5 ans","chef projet technique,  conduite  logiciel, organisation, planification communication"
Tech lead JAVA,X,"Nous recherchons pour un de nos clients, un expert cloud
 Compétences souhaitée:
• Connaissance technique: java, SQL server
Expérience souhaitée:
• Min 5 ans dont 3 ans dans le secteur bancaire","Java SQL,  server, tech lead"
Consultant AMOA SIRH,X,"Nous recherchons pour un de nos clients, un consultant AMOA SIRH
Compétences souhaitées:
• Connaissance du secteur bancaire
Expérience souhaitée:
• Minimum 5 ans","SIRH,  MOA SIRH, schema directeur, cadrage projet, conduite changement, synthèse, fonction RH, gestion talents,ressources humaines"
Ingénieur cybersécurité gouvernance risque et compliance,X,"Nous recherchons pour un de nos clients, un ingenieur cybersecurité gouvernance
Compétences souhaitée:
•Connaissance de l'environnement technique : IAM, RGPD, cybersécurité
Expérience souhaitée
• > = 4 ans","cybersecurite,  RGPD,  IAM compliance, risque, ingenieur, analyse"
Administrateur système Windows & VM Ware,X,"Nous recherchons pour un de nos clients un administrateur système windows et VM Ware
 Compétences souhaitées:
• Compétence Windows
• Connaissance de centreon
• Connaissance de VMWare
Maitrise de Scripting PowerShell
• Bonnes connaissances réseau
Compétences additionnelles suivantes sont requises:
• Sens de l'écoute
• Sens du service 
• Bon niveau rédactionnel
La mission est d'une durée de  2 ans dans l'ouest de Paris","Windows, VMWare, PowerShell, centreon, ecoute, service"
Développeur  BI QlikView,X,"Nous recherchons pour un de nos clients un développeur BI QlikView:
=> Ce Besoin est en AT et à pourvoir à partir de janvier/ février","QlikView, developpeur, BI, analyse donnée"
"Développeur sénior Java, Angular et elastic search /  expert elastic search",X,"Nous recherchons pour un de nos clients, un développeur senior java angular et elastic search:
Compétences souhaitées: 
• Bonne connaissance des environnements  technique: Maven, Java Spring, Tomcat, Angular, RabbitMQ, XML, • • Elastic Search + Stack devOps (requis) 
Expérience souhaitée:
• 4 ans minimum
=> Le démarrage de la mission est prévu pour début janvier","Java, Angular,  elastic search, developpeur senior"
Développeur web front End Java script/react,X,"Nous recherchons pour un de nos clients, un développeur web front end JavaScript et reactt
 Compétences souhaitées: 
• Connaissance optionnel dans les domaines suivants:
de ReactJS est un vrai plus?;? 
• Forte affinité pour le développement de UI et une bonne connaissance des bonnes pratiques de design UI / UX?;?
• Forte affinité avec les webperf et les outils associés (Lighthouse, Dareboost...) ; 
• Expériences dans les médias?;?? 
• Expériences sur des sites à fort trafic
connaissance technique requise
• Symfony?;? 
• JavaScript?;? 
• HTML & CSS;? 
• Webperf (lighthouse, Dareboost...) 
• Git?;? 
• Tests unitaires ;? 
• Outils d'intégration continue?;? 
• Bonnes pratiques en qualité logicielle ;
• Méthodologie agile.","Javascript,  Symfony,  react js, UI UX, html, css, front end, test, agile, analyse"
Développeur SPLK,X,"Nous recherchons pour un de nos clients, un developpeur splk:
Compétences souhaitées: 
• Bonne maitrise du langage SPL et connaissance de l'outil Splunk
• connaissance en sécurité des systèmes d'information
• connaissance d'office 365 de solution EDR, et CASB et ce qui touche au DLP
• Maitrise de l'anglais, écrit comme oral
=> La mission est d'une durée de 6 mois renouvelable sur 24 mois minimum","Splunk, data analyse, donnée, modeliser, developpeur"
Chef de projet transverse,X,"Nous recherchons pour un de nos clients, un chef de projet transverse
Compétences souhaitées: 
• Maitrise de l'usage des outils de gestion de projets et de travail collaboratif(Excel, Trello, Jira…)
• Maitrise des méthodes de gestion de projets
Expérience souhaitée:
• Expérience de 5 ans à senior","chef projet transverse agile,  Jira Trello, agile"
Développeur Python/No SQL,X,"Nous recherchons pour un de nos clients, un développeur python/no SQL
 Compétences souhaitées: 
•Bonne connaissance de l'environnement technique: python, no SQL, big data,
Expérience souhaitée:
3 ans","python, no SQL,  big data"
Concepteur trading,X,"Nous recherchons pour un de nos clients, un concepteur trading
Compétence souhaitée
• Analyse et compréhension du besoin fonctionnel
• Implémentation d'une solution technique
• Réalisation de test des outils
• Mise en production des outils
Expérience souhaitée:
• 4 ans d'expérience min
Mission:
=> Le démarrage démarrage de la mission est Asap","concepteur, trading, technique, tests, programmation, developpement, application, ecoute, rigueur, Informatique, trading finance, specification"
Architecte/urbaniste des SI,X,"
Nous recherchons pour un de nos clients, les compétences suivantes: 
• Connaissance de la technologie PeopleSoft
• Connaissance en RDBMS( rational database management system)
• Connaissance d'Informatica et ou HCM cloud est un plus
Expérience souhaitée:
Plus de 9 ans d'exp min
mission longue démarrage asap","PeopleSoft, RDBMS, architecte, urbaniste, système d'information, cloud"
Data engineer SQL/MSBI( SSAS),X,"
Nous recherchons pour un de nos clients,  un business analyst
Compétences souhaitées
•Maitrise du SQL
•Maitrise des cubes SSAS
•Connaissance du cloud azure-power BI
Expérience souhaitée:
•Anglais B2 min
•5 ans d'exp min","SQL, SSAS, cubes, azure, power BI, data, ingenieur"
Business analyst/consultant métier,X,"Nous recherchons pour un de nos clients, 
Compétences souhaitées: 
• Maitrise de l'outil B-one et de requêtes SQL
•Connaissances techniques permettant de challenger le choix d'une architecture projet( programmation , ETL…)
•Connaissance de la règlementation Solvency 2 et la production de rapports liés
du calcul d'attribution de performance( Taux+ Action)
• Connaissance de l'asset management
Expérience souhaitée:
•anglais courant
•6 ans d'expérience minimum","Business analyst, B-one b, one ETL, Solvency 2, asset management, Assistante MOA"
Consultant sauvegarde,X,"Nous recherchons pour un de nos clients, un consultant sauvegarde
Compétences souhaitées
•Expertise sur l'état , l'art des solutions de sauvegarde et mécanisme afférents
•Expertise sur les principaux outils de sauvegarde du marché (eg Swift, unités VTL quantum dxi4800 ou HP store once 5200, unités PTL Quantum scalar i6 ou IBM présentant des lecteurs LTO_7 ou supérieurs) et ou du monde libre(open stack, glance,cinder,swift...)
•Très bonne connaissance de l'environnement Linux et du Scripting SHELL
","Swift, VTL, PTL, quantum, Shell, open stack, glance, infogereur, administration sauvegarde"
Directeur de programme plateforme e-commerce internationale,X,"Nous recherchons pour un de nos clients, un directeur de programme dont la  mission est :
•Piloter le programme de transformation de la plateforme e-Commerce en collaboration avec les équipes IT France et international et entités du type marketing, commerce…
• Pilote les équipes IT et être le garant du delivery vis-à-vis de toutes les BU( France/EUR)
•cadrer et planifier les livraisons des releases de la plateforme
• Gérer la migration des différentes BU
• Gérer  la relation avec toutes les parties prenantes
• Faire du management des équipes IT
Il est Responsable du budget aussi de:
• L'estimation en amont et suivi du budget
• La communication et le reporting
Compétence souhaitée:
• Min 10-15 ans d'expérience avec des références solide en direction de projet/pgm
• Expérience en projet internationaux
•Expérience au sein d'organisation complexe
•Connaissance des différentes méthodologies projet( agile, cycle en V)
•BAC+5 école ou ingénieur
•Expérience en IT
et les qualités suivantes:
•Leadership
•Capacite d'analyse
","directeur de programme, transformation, plateforme management, budget, communication, reporting, organisation"
Développeur front react JS,X,"Nous recherchons pour un de nos clients, un développeur front react JS avec les pré requis suivant :
•BAC+5
•Avoir fait une école ingénieur
•Disposer d'un minimum de 1 an d'expérience en développement react JS
Le client propose dans le cadre de cette mission un contrat de 3 mois renouvelable",react JS
Expert Salesforce,X,"Nous recherchons pour un de nos clients un expert Salesforce avec les pré requis suivant:
Les tâches principales sont : 
•Compréhension des besoins métiers, mise en œuvre de la solution, industrialisation des normes de dev • 
•Connaissance avancées Salesforce
•Compréhension des architectures mises en place
•Bon niveau d'anglais
Mission longue durée
Démarrage début février",Salesforce 
Consultant Quant-DEV*3,X,"Nous recherchons pour un de nos clients, les compétences suivantes:
• Expérience Senior en  C++
•Connaissance en produits taux et dérivés taux
•Construction de courbe de taux
Expérience souhaitée:
•Expérience en calcul distribué , python souhaité 
•Bon niveau d'anglais
La mission est pour un démarrage asap","C++, taux et dérive, taux, python,consultant base de donnée, database, modélisation base de donnée"
 Développeur Java habilitable (H/F),X,"Nous recherchons pour un de nos clients, les compétences suivantes :
•Développement Java
•Build Maven/Gradle
•Intégration continue Jenkins / Gitlab-Runner, Docker, modélisation
La mission est pour une durée de 66 mois 
Le démarrage est asap","java, habilitable, Maven, gradle, Jenkins, docker"
 Ingénieur Devops habilitable (H/F),X,"Nous recherchons pour un de nos clients, les compétences suivantes :
•Linux
•Conteneurisation Docker
Expérience souhaitée:
Vous avez au minimum 5 ans d’expérience en tant qu’ingénieur(e) Dev-Ops.
Durée de la mission : 6 mois
Démarrage asap","docker, devops, dev Ops"
Architecte applicatif habilitable (H/F),X,"Nous recherchons pour un de nos clients, les compétences suivantes :
•Vous travaillerez principalement sur du back et en environnement Web mobile.
•Conception et modélisation de système d’information ;
•Technologie Docker, Kubernetes et Swarm
•Sécurité des systèmes d’informations
Expérience souhaitée:
Vous avez au minimum 5 ans d’expérience en tant qu’architecte applicatif.
Durée : 6 mois
Démarrage asap","architecte, web mobile, docker, kubernetes, swarm, securite système d'information"
Testeur applicatif habilitable (H/F),X,"Nous recherchons pour un de nos clients, les compétences suivantes , sans que cela soit limitatif :
•Linux
•Conteneurisation Docker
•Jenkins / Gitlab-Runner
Principales tâches à effectuer:
•Réalisation et automatisation des tests d’intégration et des tests systèmes en matière de
•Sécurité
•Performances
• Tests Fonctionnels
•Tests manuels des opérations difficiles à automatiser
Le consultant devra aussi relever et adresser des communications des points d’écarts entre ce qui est escompté et ce qui est effectivement livré.
Il sera amené à travailler  principalement sur du back et en environnement Web mobile.
Expérience souhaitée:
Vous avez au minimum 5 ans d’expérience en tant que testeur applicatif
Durée de la mission : 6 mois
Démarrage asap","test, testeur, applicatif, linux, sécurité, performance, gitlab, Runner, docker "
Administrateur system Windows VMWare,X,"Nous recherchons pour un de nos clients, un administrateur system VMWare pour intégrer une équipe MCO
Mission
=> Démarrage asap","Windows, VMWare"
"Développeur Back : NodeJS / graphql / Apollo / koa / PostgreSQL / MongoDB /C62
",X,"Nous recherchons pour un de nos clients, un développeur back
Compétence souhaitée:
• Connaissance additionnelle de micro service B61
Compétence min attendue:
• Bac +5 
• Minimum 3 ans d'expériences ","Back,  NodeJS, graphql, Apollo, PostgreSQL, MongoDB "
Consultant UI/UX ,X,"Nous recherchons pour un de nos clients, un consultant IU/UX      
Compétence souhaitée
 • Capable de faire de la création de maquette INVISION et découpe pour intégration.","IU UX, Invision"
Chef de projet solution Monday ,X,"Nous recherchons pour un de nos clients, un chef de projet  Monday:
Compétences souhaitées
• Créer un support de formation
• Faire un accompagnement bilingue et potentiellement qui se déplacera afin de former des équipes en Europe.","Monday, chef de projet"
MOE Intégration/Développement C,X,"Nous recherchons pour un de nos clients, un MOE 
Compétence souhaitée
• C, systèmes de paiements, ORACLE SQL, Shell script, Linux
Expérience souhaitée:
•5 ans d’expériences minimum
Mission:
=> Longue","MOE, paiement, C, oracle, SQL, Shell, script, linux"
Consultant fonctionnel ALM,X,"Nous recherchons pour un de nos clients, un consultant fonctionnel 
Compétences souhaitées:
• ALM, Produits de Taux, Produits dérivés, Risques
Expérience souhaitée:
• 7 ans d’expériences minimum
•  Anglais courant
Mission
=> Longue, démarrage ASAP","ALM, Taux, produits dérives, risque, fonctionnel"
