Nom du tiers_First name,Poste du tiers_ Title of first name,Compétences(details about title of first name to take into account)
Ya,"Consultant IT indépendant, PMP, ITIL",PMP|ITIL|Scrum|Software Development|Software Project Management|Développement de logiciel|Change Management|Gestion de projet|Gestion de projet logiciel|Management
Ma,"Consultant indépendant, we IT.",ITIL|Gestion de projet|Stratégie IT|Gouvernance|Change Management|Consulting|Développement commercial|IT Service Management|Management services IT|Informatique décisionnelle|Pilotage projet|Audit IT|Gestion de crise|Gestion du risque|Management de transition|ISO 20000|Lean IT|Transformation|Gestion des services
Ma,Freelance IT Manager,Gestion de projet|Project Management|SQL|Software Development|Agile Methodologies|Business Intelligence|Change Management|Consulting|Développement de logiciel|E-commerce|Gestion de projet logiciel|IT Strategy|ITIL|Linux|Microsoft SQL Server|Gestion de projets (PMBOK)|Gestion de projets logiciels (Rational Unified Process / Agile)
Da,Consultant IT Freelance,Java|Agile Methodologies|Scala|Méthodes agiles|Scrum|Cloud Computing|Développement de logiciel|Git|JavaScript|SQL|Hibernate|Amazon Web Services (AWS)|Spring Framework|Framework Sping|NoSQL|Linux|Open Source|Spring|Play Framework|Akka|Functional Programming|Groovy|Grails|DevOps|Puppet|Cassandra|Functional Support|Chef
Da,Finance Consultant in Digital Transformation at IBM,Management|Marketing|Anglais|Gestion de projet|Stratégie marketing|Project Management|Stratégie commerciale|Vente|Réseaux sociaux|Gestion d'évènement|Marketing Communications|Communication marketing|Comptabilité|Développement commercial|Business Strategy|Gestion des stocks|Gestion des opérations|Gestion de la chaîne logistique|Marketing Strategy|Agile Methodologies|Big data|Microsoft Excel|Microsoft Office|PowerPoint|Microsoft Word|SAP ERP|Leadership|Travail d'équipe|Négociations|Teamwork|Design Thinking|English|Français|Espagnol|IoT|Cloud
Ab,Développeur Full stack (PHP / Angular / React),PHP|AngularJS|Web Design|Graphic Design|Logo Design|Typography|Illustration|Layout|Advertising|Programmation web|Photoshop|Illustrator|InDesign|CSS3|HTML|HTML 5|Java|JavaSE|phpMyAdmin|MySQL|SQLite|Node.js|jQuery|3D Studio Max|Linux|JavaScript|CSS|VB.NET|C#|Delphi|laravel|SQL|less|Flash|Cisco Technologies|After Effects|Windows 7|UML|CodeIgniter|WordPress|Git|RESTful WebServices|Blender|C/C++ STL|Pascal|CoffeeScript|vBulletin|Mac OS|firebase
Nu,Freelance IT Project Management & Coordination,Project Management|Telecommunications|Team Management|Gestion de projet|Change Management|Télécommunications|Stratégie IT|ITIL|Microsoft Office|Microsoft Excel|Management|Customer Service|Training|Gestion d’équipe|Anglais|Français
Ar,(Full-Stack / Backend) Javascript Developer (NodeJs / React / Meteor) - Currently not Available - Only in Freelance,Software Development|Open Source|Integration|Scrum|Security|Web Applications|Object Oriented Design|Agile Methodologies|Programming|Web Development|Web Services|Software Design|Design Patterns|TCP/IP|Software Engineering|Shell Scripting|Test Driven Development|Cloud Computing|OOP|Node.js|React.js|MongoDB|Meteor|HTML 5|Git|C|Ruby|Python|Linux|XSLT|XML|Ruby on Rails|Ubuntu|Java|JavaScript|HTML|CSS|jQuery|JSON|REST
El,"Consultante à l'écoute d'opportunités : développement durable, consulting en management, orienté luxe et international",Stratégie commerciale|Change Management|Analyse de données|Recherche|Planification d’évènements|Stratégie|Ressources humaines|Gestion de projet|Stratégie marketing|Animation|Economics|Psychologie|Gestion de la relation client (CRM)|Marketing|Développement commercial|Vente|Gestion du changement|Gestion d'évènement|Expérience client|Commerce de détail|Écologie|Relations publiques|Compétences analytiques|Rédaction|Développement durable|Consulting|Microsoft Office|Microsoft Excel|Microsoft Word|Microsoft PowerPoint|Parler en public|Travail d’équipe|Esprit critique|Management|Leadership|Communication|Coaching|Service client|Formation|Anglais|Espagnol|Dutch|Français|Statistical analysis|Enseignement du yoga|Flamenco|Danse du ventre|Data presentation|Maisons de luxe|Élaboration de solutions
Xa,"En recherche active d'un poste de chef de projet, PMO, consultant gestion de projet.",Secteur pharmaceutique|Services de santé|Stratégie|Validation|Recherche clinique|Oncologie|Scrum|Planification|Bureau de gestion de projet (PMO)|Optimisation de la chaîne logistique|Stratégie IT|Gestion de projet agile|Microsoft Office|.NET|C#|Microsoft SQL Server|SharePoint|Projet Microsoft|Primavera P6|Management|Gestion d’équipe|BizTalk|Agilité|Reporting consolidé|SciFinder|Gouvernance de projet
Gh,Freelance IT Project manager,Embedded Systems|Embedded Software|Hardware|Engineering|Project Management|Management|Team Management
Fa,Développeur fullstack freelance,JavaScript|Programmation web|PHP|Web Development|Services web|jQuery|CSS|Git|MySQL|AJAX|CodeIgniter|MongoDB|AngularJS|Ruby on Rails|Feuilles de Style en cascade (CSS)|Feuilles de style en cascade (CSS)|React.js|API
Lu,Developpeur web front-end ,PHP|Javascript|Méthodes agiles|QHSE|Gestion de projet|iso 9001|Gestion de la qualité|Contrôle des processus|planification de projets|Optimisation des processus|Pré-construction|Plans de construction|Entrepreneuriat|Droit de l'urbanisme|Gestion de la relation client (CRM)|Planification de projets|Coordination de projet|Tableaux croisés dynamiques|Réaction en chaîne par polymérase|Intégration|MySQL|html/css|Tableau|React.js|Microsoft Office|Relations clientèle|Prévention|symfony|Gatsby.js (niveau petit scarabée)|Wordpress : Créer un site à partir d'un thème enfant|Flexbox|Tableaux de bord Excel|Qualibail|Référentiel MASE|Reporting;Création de rapports|gestion des sinistres|assurance dommage ouvrage|Création de procédures|Procédures de bureau|Implantation|Relations avec les prestataires|indicateurs|analyse pénibilité|marchés publics|assurance dommages aux biens|veille règlementaire
Jo,Ingénieur en Développement - Conseiller / Consultant - IT Project Manager,Développement de logiciel|Gestion de projet|Étude de la faisabilité|Méthodes agiles|Entrepreneuriat|Ingénierie|Informatique|Stratégie marketing|Développement international|Unix|Mac|Microsoft Windows|iOS|Android|ASP.NET|C#|Objective-C|VHDL|Java|Java Enterprise Edition|CMS|XML|jQuery|C|Oracle|JSP|SQL|Travail d'équipe|Assembleur|Pascal|Programmation en Ada|Architecture CORBA|JDeveloper|XAML|Smalltalk|Analyse de systèmes informatiques|Meneur de Projet : accompagnement de jeunes dans la réalisation de leur projet|javascript/PHP|Matlab/Scilab|Unity3D|HTML5/CSS3|AMPL|Arduino/Xbee/Bluetooth
Pi,Indépendant - Consultant MS BI,Microsoft SQL Server|MDX|PowerBI|Research|Consulting|Informatique décisionnelle|Modélisation|BI|T-SQL|SSIS|SSRS|Microsoft Excel|Visual Studio|PHP|CSS|HTML|Java|MySQL|Windows|C Language|Unix|Tortoise SVN|C++ Language|Transact-SQL (T-SQL)|SQL|English|Spanish|DAX|OpenGL (Notions)|SSAS|business inteligence
le,"System and Network Administrator at Freelance, self-employed",Microsoft Office|HTML|Gestion de projet|Développement de logiciel|Project Management|Social Media|Network Security|Network Administration|Network Architecture|Security|Linux|Windows Server|Bash|Python|Management|MS-DOS
DA,CISO - RSSI chez ENERGIE,Gestion de projet|Sécurité|Windows Server|Intégration|Change Management|ITIL|Infrastructure|Cloud Computing|Virtualisation|Firewalls|Recherche|Architecture|Sécurité réseau|Sécurité de l'information|Consulting|Planification de projets|Grappes de serveurs|Opérations IT|Appareils mobiles|Télécommunications|Stratégie|Prestation de service|Informatique décisionnelle|Management services IT|Réseau de stockage|Stratégie IT|Avant-vente|Routage|Sans fil|Management IT|Méthodes agiles|VMware|Cisco Technologies|Microsoft Office|Microsoft Exchange|Microsoft Word|Microsoft Excel|Microsoft Windows|Adobe Photoshop|Windows 7|Microsoft SQL Server|Linux|Active Directory|Citrix|Base de données|Gestion d'équipe|Leadership|Service client|Anglais|Networking
Ch,Chef de projet IT indépendant,Gestion de projet|Gestion d’équipe|Gestion du changement|Gestion des incidents|Management IT
Ti,Freelance développeur fullstack JavaScript,JavaScript|Node.js|ReactJS|AngularJS|PHP|MySQL|MongoDB|PostgreSQL|jQuery|CSS3|HTML 5|Git|Gulp|Symfony2
ou,Consultant at Oney,Pacbase|IBM Mainframe|COBOL|Business Intelligence|IT Service Management|Integration|ERP|Software Project Management|Project Management|Software Development|Cloud Computing|JCL|AS400 system|Oracle|SQL|PL/SQL|Java|Microsoft SQL Server|UML|Unix|XML|Java Enterprise Edition|PHP|phpMyAdmin|J2EE Application Development|Windows|SQL DB2|CL|Merise|RPG
